region,source,scenario,year,value,unit,dataset
BRITISH COLUMBIA,COAL & COKE,CURRENT MEASURES,2018,0,PJ,2023
BRITISH COLUMBIA,HYDRO / WAVE / TIDAL,CURRENT MEASURES,2018,222.4476,PJ,2023
BRITISH COLUMBIA,NATURAL GAS,CURRENT MEASURES,2018,7.640153999999999,PJ,2023
BRITISH COLUMBIA,OIL,CURRENT MEASURES,2018,0.9964188,PJ,2023
BRITISH COLUMBIA,SOLAR,CURRENT MEASURES,2018,0.0072,PJ,2023
BRITISH COLUMBIA,NUCLEAR,CURRENT MEASURES,2018,0,PJ,2023
BRITISH COLUMBIA,WIND,CURRENT MEASURES,2018,6.2063999999999995,PJ,2023
BRITISH COLUMBIA,BIOMASS / GEOTHERMAL,CURRENT MEASURES,2019,11.7905436,PJ,2023
BRITISH COLUMBIA,COAL & COKE,CURRENT MEASURES,2019,0,PJ,2023
BRITISH COLUMBIA,HYDRO / WAVE / TIDAL,CURRENT MEASURES,2019,201.98876399999997,PJ,2023
BRITISH COLUMBIA,NATURAL GAS,CURRENT MEASURES,2019,10.6149456,PJ,2023
BRITISH COLUMBIA,OIL,CURRENT MEASURES,2019,1.1054772,PJ,2023
BRITISH COLUMBIA,SOLAR,CURRENT MEASURES,2019,0.0072,PJ,2023
BRITISH COLUMBIA,NUCLEAR,CURRENT MEASURES,2019,0,PJ,2023
BRITISH COLUMBIA,WIND,CURRENT MEASURES,2019,6.0948,PJ,2023
BRITISH COLUMBIA,BIOMASS / GEOTHERMAL,CURRENT MEASURES,2020,14.166731138508,PJ,2023
BRITISH COLUMBIA,HYDRO / WAVE / TIDAL,CURRENT MEASURES,2020,229.72922661599998,PJ,2023
BRITISH COLUMBIA,NATURAL GAS,CURRENT MEASURES,2020,4.2170517432,PJ,2023
BRITISH COLUMBIA,OIL,CURRENT MEASURES,2020,0.267255496836,PJ,2023
BRITISH COLUMBIA,SOLAR,CURRENT MEASURES,2020,0.09661539911039999,PJ,2023
BRITISH COLUMBIA,WIND,CURRENT MEASURES,2020,10.82982213,PJ,2023
BRITISH COLUMBIA,BIOMASS / GEOTHERMAL,CURRENT MEASURES,2021,14.608622558628,PJ,2023
BRITISH COLUMBIA,HYDRO / WAVE / TIDAL,CURRENT MEASURES,2021,229.68212486399997,PJ,2023
BRITISH COLUMBIA,NATURAL GAS,CURRENT MEASURES,2021,6.1024277196,PJ,2023
BRITISH COLUMBIA,OIL,CURRENT MEASURES,2021,0.26052537096,PJ,2023
BRITISH COLUMBIA,SOLAR,CURRENT MEASURES,2021,0.10741539911039999,PJ,2023
BRITISH COLUMBIA,WIND,CURRENT MEASURES,2021,7.22982213,PJ,2023
BRITISH COLUMBIA,BIOMASS / GEOTHERMAL,CURRENT MEASURES,2022,19.875396236759997,PJ,2023
BRITISH COLUMBIA,HYDRO / WAVE / TIDAL,CURRENT MEASURES,2022,214.395256512,PJ,2023
BRITISH COLUMBIA,NATURAL GAS,CURRENT MEASURES,2022,6.037853058,PJ,2023
BRITISH COLUMBIA,OIL,CURRENT MEASURES,2022,0.347319769392,PJ,2023
BRITISH COLUMBIA,SOLAR,CURRENT MEASURES,2022,1.576215399096,PJ,2023
BRITISH COLUMBIA,WIND,CURRENT MEASURES,2022,7.22982213,PJ,2023
BRITISH COLUMBIA,BIOMASS / GEOTHERMAL,CURRENT MEASURES,2023,16.576660897559996,PJ,2023
BRITISH COLUMBIA,HYDRO / WAVE / TIDAL,CURRENT MEASURES,2023,215.172127836,PJ,2023
BRITISH COLUMBIA,NATURAL GAS,CURRENT MEASURES,2023,6.9389414388,PJ,2023
BRITISH COLUMBIA,OIL,CURRENT MEASURES,2023,0.360691488,PJ,2023
BRITISH COLUMBIA,SOLAR,CURRENT MEASURES,2023,1.576215399096,PJ,2023
BRITISH COLUMBIA,WIND,CURRENT MEASURES,2023,7.22982213,PJ,2023
BRITISH COLUMBIA,BIOMASS / GEOTHERMAL,CURRENT MEASURES,2024,15.112544594400001,PJ,2023
BRITISH COLUMBIA,HYDRO / WAVE / TIDAL,CURRENT MEASURES,2024,214.389603,PJ,2023
BRITISH COLUMBIA,NATURAL GAS,CURRENT MEASURES,2024,7.7443816968,PJ,2023
BRITISH COLUMBIA,OIL,CURRENT MEASURES,2024,0.32221683215999997,PJ,2023
BRITISH COLUMBIA,SOLAR,CURRENT MEASURES,2024,1.7917344493560001,PJ,2023
BRITISH COLUMBIA,WIND,CURRENT MEASURES,2024,7.22982213,PJ,2023
BRITISH COLUMBIA,BIOMASS / GEOTHERMAL,CURRENT MEASURES,2025,11.50487960616,PJ,2023
BRITISH COLUMBIA,HYDRO / WAVE / TIDAL,CURRENT MEASURES,2025,228.491745444,PJ,2023
BRITISH COLUMBIA,NATURAL GAS,CURRENT MEASURES,2025,9.1671381108,PJ,2023
BRITISH COLUMBIA,OIL,CURRENT MEASURES,2025,0.31471943594400004,PJ,2023
BRITISH COLUMBIA,SOLAR,CURRENT MEASURES,2025,2.47142492748,PJ,2023
BRITISH COLUMBIA,WIND,CURRENT MEASURES,2025,8.774105958,PJ,2023
BRITISH COLUMBIA,BIOMASS / GEOTHERMAL,CURRENT MEASURES,2026,10.184422124628,PJ,2023
BRITISH COLUMBIA,HYDRO / WAVE / TIDAL,CURRENT MEASURES,2026,227.388645396,PJ,2023
BRITISH COLUMBIA,NATURAL GAS,CURRENT MEASURES,2026,14.202604213199999,PJ,2023
BRITISH COLUMBIA,OIL,CURRENT MEASURES,2026,0.2669842476,PJ,2023
BRITISH COLUMBIA,SOLAR,CURRENT MEASURES,2026,2.8420078392,PJ,2023
BRITISH COLUMBIA,WIND,CURRENT MEASURES,2026,9.300552314399999,PJ,2023
BRITISH COLUMBIA,BIOMASS / GEOTHERMAL,CURRENT MEASURES,2027,9.274830452784,PJ,2023
BRITISH COLUMBIA,HYDRO / WAVE / TIDAL,CURRENT MEASURES,2027,227.086110828,PJ,2023
