source,year,value
BIOMASS / GEOTHERMAL,2042,9.2222857143
HYDRO / WAVE / TIDAL,2042,229.529070936
NATURAL GAS,2042,31.5164146896
OIL,2042,0.0
SOLAR,2042,33.531058296000005
WIND,2042,67.528091628
BIOMASS / GEOTHERMAL,2043,8.7505140744
HYDRO / WAVE / TIDAL,2043,228.975346908
NATURAL GAS,2043,28.9192169664
OIL,2043,0.0
SOLAR,2043,36.1202813244
WIND,2043,73.45741428
BIOMASS / GEOTHERMAL,2044,8.539219479888
HYDRO / WAVE / TIDAL,2044,228.264201216
NATURAL GAS,2044,29.1955389588
OIL,2044,0.0
SOLAR,2044,38.7095043492
WIND,2044,79.386736932
BIOMASS / GEOTHERMAL,2045,8.31728178288
HYDRO / WAVE / TIDAL,2045,227.367024912
NATURAL GAS,2045,27.7030556568
OIL,2045,0.0
SOLAR,2045,41.2987273884
WIND,2045,85.31605958399999
BIOMASS / GEOTHERMAL,2046,8.9720925948
HYDRO / WAVE / TIDAL,2046,226.80830106
NATURAL GAS,2046,28.4238112464
OIL,2046,0.0
SOLAR,2046,42.2484215796
WIND,2046,91.072213128
BIOMASS / GEOTHERMAL,2047,9.443120698908
HYDRO / WAVE / TIDAL,2047,226.259027136
NATURAL GAS,2047,29.0590711704
OIL,2047,0.0
SOLAR,2047,43.1975916468
WIND,2047,96.827424768
BIOMASS / GEOTHERMAL,2048,9.6207139152
HYDRO / WAVE / TIDAL,2048,225.797629536
NATURAL GAS,2048,30.3007286052
OIL,2048,0.0
SOLAR,2048,44.1447366744
WIND,2048,102.58335756
BIOMASS / GEOTHERMAL,2049,9.7117563276
HYDRO / WAVE / TIDAL,2049,225.271138968
NATURAL GAS,2049,31.66098264
OIL,2049,0.0
SOLAR,2049,45.0934957656
WIND,2049,108.334667124
BIOMASS / GEOTHERMAL,2050,9.975098810952
HYDRO / WAVE / TIDAL,2050,224.806103244
NATURAL GAS,2050,34.4074898736
OIL,2050,0.002130618168
SOLAR,2050,45.5765246928
WIND,2050,114.086068452
