region,sector,source,scenario,year,value,unit,dataset
BRITISH COLUMBIA,TOTAL DEMAND,ELECTRICITY,CURRENT MEASURES,2045,387.3322,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,HYDROGEN,CURRENT MEASURES,2045,0.221,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,"COAL, COKE & COKE OVEN GAS",CURRENT MEASURES,2046,7.5634,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,OIL PRODUCTS,CURRENT MEASURES,2046,412.3312,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,BIOFUELS & EMERGING ENERGY,CURRENT MEASURES,2047,350.8296,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,NATURAL GAS,CURRENT MEASURES,2047,442.3278,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,ELECTRICITY,CURRENT MEASURES,2048,400.4041,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,HYDROGEN,CURRENT MEASURES,2048,0.2447,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,"COAL, COKE & COKE OVEN GAS",CURRENT MEASURES,2049,8.0716,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,OIL PRODUCTS,CURRENT MEASURES,2049,424.2859,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,BIOFUELS & EMERGING ENERGY,CURRENT MEASURES,2050,356.7664,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,NATURAL GAS,CURRENT MEASURES,2050,457.0368,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,ELECTRICITY,CURRENT MEASURES,2005,227.7985,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,"COAL, COKE & COKE OVEN GAS",CURRENT MEASURES,2006,14.371,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,HYDROGEN,CURRENT MEASURES,2006,0,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,BIOFUELS & EMERGING ENERGY,CURRENT MEASURES,2007,212.066,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,HYDROGEN,CURRENT MEASURES,2009,0,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,OIL PRODUCTS,CURRENT MEASURES,2010,444.8529,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,NATURAL GAS,CURRENT MEASURES,2011,342.7726,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,ELECTRICITY,CURRENT MEASURES,2012,209.2,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,HYDROGEN,CURRENT MEASURES,2012,0,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,"COAL, COKE & COKE OVEN GAS",CURRENT MEASURES,2013,5.44,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,OIL PRODUCTS,CURRENT MEASURES,2013,422.6309,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,BIOFUELS & EMERGING ENERGY,CURRENT MEASURES,2014,200.1106,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,NATURAL GAS,CURRENT MEASURES,2014,339.1559,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,ELECTRICITY,CURRENT MEASURES,2015,199.4479,PJ,2023
