,Region,Municipality,Year,Total,source_x,value_x,sector,source_y,value_y
1197,47023,Masset,2006,    961,BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
1206,47026,Daajing Giids,2006,    971,BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
1215,47030,Port Clements,2006,    448,BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
1224,47999,Unincorporated Areas - Skeena-Queen Charlotte,2006,"  4,049",BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
1233,49005,Kitimat,2006,"  9,193",BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
1242,49011,Terrace,2006," 11,656",BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
1251,49022,Hazelton,2006,    296,BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
1260,49024,New Hazelton,2006,    644,BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
1269,49032,Stewart,2006,    498,BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
1278,49999,Unincorporated Areas - Kitimat-Stikine,2006," 17,169",BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
1287,5005,Fruitvale,2006,"  1,995",BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
1296,5009,Montrose,2006,"  1,037",BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
1305,5014,Trail,2006,"  7,406",BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
1314,5018,Warfield,2006,"  1,770",BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
1323,5023,Rossland,2006,"  3,364",BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
1332,5032,Grand Forks,2006,"  4,128",BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
1341,5037,Midway,2006,    640,BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
1350,5042,Greenwood,2006,    636,BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
1359,51007,Vanderhoof,2006,"  4,197",BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
1368,51009,Fraser Lake,2006,"  1,135",BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
1377,51013,Fort St. James,2006,"  1,396",BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
1386,51022,Burns Lake,2006,"  2,177",BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
1395,51032,Granisle,2006,    363,BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
1404,51034,Houston,2006,"  3,278",BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
1413,51038,Telkwa,2006,"  1,326",BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
1422,51043,Smithers,2006,"  5,366",BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
1431,51999,Unincorporated Areas - Bulkley-Nechako,2006," 20,140",BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
1440,53007,Valemount,2006,"  1,048",BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
1449,53012,McBride,2006,    667,BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
1458,53023,Prince George,2006," 73,329",BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
1467,53033,Mackenzie,2006,"  4,688",BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
1476,53999,Unincorporated Areas - Fraser-Fort George,2006," 15,462",BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
1485,55003,Tumbler Ridge,2006,"  2,519",BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
1494,55005,Pouce Coupe,2006,    752,BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
1503,55010,Chetwynd,2006,"  2,728",BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
1512,55014,Dawson Creek,2006," 11,385",BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
1521,55025,Hudson's Hope,2006,"  1,036",BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
1530,55030,Taylor,2006,"  1,451",BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
1539,55034,Fort St. John,2006," 18,217",BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
1548,55999,Unincorporated Areas - Peace River,2006," 22,283",BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
1557,57999,Unincorporated Areas - Stikine,2006,    653,BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
1566,59007,Northern Rockies Regional Municipality,2006,"  5,921",BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
1575,5999,Unincorporated Areas - Kootenay Boundary,2006," 10,452",BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
1584,59999,Unincorporated Areas - Northern Rockies,2006,    462,BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
1593,7005,Osoyoos,2006,"  4,825",BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
1602,7009,Keremeos,2006,"  1,318",BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
1611,7014,Oliver,2006,"  4,487",BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
1620,7024,Princeton,2006,"  2,825",BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
1629,7035,Summerland,2006," 11,065",BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
1638,7041,Penticton,2006," 32,679",BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
1647,7999,Unincorporated Areas - Okanagan-Similkameen,2006," 23,936",BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
1656,9009,Hope,2006,"  6,295",BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
1665,9020,Chilliwack,2006," 71,473",BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
1674,9027,Harrison Hot Springs,2006,"  1,607",BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
1683,9032,Kent,2006,"  5,201",BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
1692,9052,Abbotsford,2006,"128,358",BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
1701,9056,Mission,2006," 35,654",BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
1710,9999,Unincorporated Areas - Fraser Valley,2006," 16,984",BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
1719,1003,Elkford,2007,"  2,526",BIOMASS,10.6153344,TOTAL DEMAND,NATURAL GAS,321.0989
1728,1006,Sparwood,2007,"  3,800",BIOMASS,10.6153344,TOTAL DEMAND,NATURAL GAS,321.0989
1737,1012,Fernie,2007,"  4,354",BIOMASS,10.6153344,TOTAL DEMAND,NATURAL GAS,321.0989
1746,1022,Cranbrook,2007," 19,136",BIOMASS,10.6153344,TOTAL DEMAND,NATURAL GAS,321.0989
1755,1028,Kimberley,2007,"  6,408",BIOMASS,10.6153344,TOTAL DEMAND,NATURAL GAS,321.0989
1764,1039,Invermere,2007,"  3,084",BIOMASS,10.6153344,TOTAL DEMAND,NATURAL GAS,321.0989
1773,1040,Radium Hot Springs,2007,    774,BIOMASS,10.6153344,TOTAL DEMAND,NATURAL GAS,321.0989
1782,1043,Canal Flats,2007,    757,BIOMASS,10.6153344,TOTAL DEMAND,NATURAL GAS,321.0989
1791,15001,"Langley, District Municipality",2007," 98,165",BIOMASS,10.6153344,TOTAL DEMAND,NATURAL GAS,321.0989
1800,15002,"Langley, City of",2007," 24,614",BIOMASS,10.6153344,TOTAL DEMAND,NATURAL GAS,321.0989
1809,15004,Surrey,2007,"420,359",BIOMASS,10.6153344,TOTAL DEMAND,NATURAL GAS,321.0989
1818,15007,White Rock,2007," 19,032",BIOMASS,10.6153344,TOTAL DEMAND,NATURAL GAS,321.0989
1827,15011,Delta,2007," 99,222",BIOMASS,10.6153344,TOTAL DEMAND,NATURAL GAS,321.0989
1836,15015,Richmond,2007,"183,506",BIOMASS,10.6153344,TOTAL DEMAND,NATURAL GAS,321.0989
1845,15022,Vancouver,2007,"602,828",BIOMASS,10.6153344,TOTAL DEMAND,NATURAL GAS,321.0989
1854,15025,Burnaby,2007,"214,296",BIOMASS,10.6153344,TOTAL DEMAND,NATURAL GAS,321.0989
1863,15029,New Westminster,2007," 61,926",BIOMASS,10.6153344,TOTAL DEMAND,NATURAL GAS,321.0989
1872,15034,Coquitlam,2007,"119,032",BIOMASS,10.6153344,TOTAL DEMAND,NATURAL GAS,321.0989
1881,15036,Belcarra,2007,    693,BIOMASS,10.6153344,TOTAL DEMAND,NATURAL GAS,321.0989
1890,15038,Anmore,2007,"  1,962",BIOMASS,10.6153344,TOTAL DEMAND,NATURAL GAS,321.0989
1899,15039,Port Coquitlam,2007," 54,231",BIOMASS,10.6153344,TOTAL DEMAND,NATURAL GAS,321.0989
1908,15043,Port Moody,2007," 29,760",BIOMASS,10.6153344,TOTAL DEMAND,NATURAL GAS,321.0989
1917,15046,"North Vancouver, District Municipality",2007," 84,480",BIOMASS,10.6153344,TOTAL DEMAND,NATURAL GAS,321.0989
1926,15051,"North Vancouver, City of",2007," 46,760",BIOMASS,10.6153344,TOTAL DEMAND,NATURAL GAS,321.0989
1935,15055,West Vancouver,2007," 43,169",BIOMASS,10.6153344,TOTAL DEMAND,NATURAL GAS,321.0989
1944,15062,Bowen Island,2007,"  3,452",BIOMASS,10.6153344,TOTAL DEMAND,NATURAL GAS,321.0989
1953,15065,Lions Bay,2007,"  1,351",BIOMASS,10.6153344,TOTAL DEMAND,NATURAL GAS,321.0989
1962,15070,Pitt Meadows,2007," 16,480",BIOMASS,10.6153344,TOTAL DEMAND,NATURAL GAS,321.0989
1971,15075,Maple Ridge,2007," 72,040",BIOMASS,10.6153344,TOTAL DEMAND,NATURAL GAS,321.0989
1980,15999,Unincorporated Areas - Greater Vancouver,2007," 19,829",BIOMASS,10.6153344,TOTAL DEMAND,NATURAL GAS,321.0989
1989,17005,North Saanich,2007," 10,954",BIOMASS,10.6153344,TOTAL DEMAND,NATURAL GAS,321.0989
1998,17010,Sidney,2007," 11,409",BIOMASS,10.6153344,TOTAL DEMAND,NATURAL GAS,321.0989
2007,17015,Central Saanich,2007," 16,144",BIOMASS,10.6153344,TOTAL DEMAND,NATURAL GAS,321.0989
2016,17021,Saanich,2007,"111,084",BIOMASS,10.6153344,TOTAL DEMAND,NATURAL GAS,321.0989
2025,17030,Oak Bay,2007," 18,384",BIOMASS,10.6153344,TOTAL DEMAND,NATURAL GAS,321.0989
2034,17034,Victoria,2007," 80,914",BIOMASS,10.6153344,TOTAL DEMAND,NATURAL GAS,321.0989
2043,17040,Esquimalt,2007," 17,367",BIOMASS,10.6153344,TOTAL DEMAND,NATURAL GAS,321.0989
2052,17041,Colwood,2007," 15,444",BIOMASS,10.6153344,TOTAL DEMAND,NATURAL GAS,321.0989
2061,17042,Metchosin,2007,"  4,851",BIOMASS,10.6153344,TOTAL DEMAND,NATURAL GAS,321.0989
2070,17044,Langford,2007," 24,618",BIOMASS,10.6153344,TOTAL DEMAND,NATURAL GAS,321.0989
2079,17047,View Royal,2007,"  9,024",BIOMASS,10.6153344,TOTAL DEMAND,NATURAL GAS,321.0989
2088,17049,Highlands,2007,"  1,971",BIOMASS,10.6153344,TOTAL DEMAND,NATURAL GAS,321.0989
2097,17052,Sooke,2007," 10,272",BIOMASS,10.6153344,TOTAL DEMAND,NATURAL GAS,321.0989
2106,17999,Unincorporated Areas - Capital,2007," 24,613",BIOMASS,10.6153344,TOTAL DEMAND,NATURAL GAS,321.0989
2115,19008,North Cowichan,2007," 28,506",BIOMASS,10.6153344,TOTAL DEMAND,NATURAL GAS,321.0989
2124,19012,Duncan,2007,"  4,930",BIOMASS,10.6153344,TOTAL DEMAND,NATURAL GAS,321.0989
2133,19016,Lake Cowichan,2007,"  3,060",BIOMASS,10.6153344,TOTAL DEMAND,NATURAL GAS,321.0989
2142,19021,Ladysmith,2007,"  7,799",BIOMASS,10.6153344,TOTAL DEMAND,NATURAL GAS,321.0989
2151,1999,Unincorporated Areas - East Kootenay,2007," 16,605",BIOMASS,10.6153344,TOTAL DEMAND,NATURAL GAS,321.0989
2160,19999,Unincorporated Areas - Cowichan Valley,2007," 35,120",BIOMASS,10.6153344,TOTAL DEMAND,NATURAL GAS,321.0989
2169,21007,Nanaimo,2007," 81,876",BIOMASS,10.6153344,TOTAL DEMAND,NATURAL GAS,321.0989
2178,21008,Lantzville,2007,"  3,751",BIOMASS,10.6153344,TOTAL DEMAND,NATURAL GAS,321.0989
2187,21018,Parksville,2007," 11,475",BIOMASS,10.6153344,TOTAL DEMAND,NATURAL GAS,321.0989
2196,21023,Qualicum Beach,2007,"  8,696",BIOMASS,10.6153344,TOTAL DEMAND,NATURAL GAS,321.0989
